Epoch,Train_Cls_Loss,Train_Dom_Acc,Train_Dom_MCC,Val_Target_AUC,Alpha
1,0.6684319504499435,0.1683125,0.021957219508580386,0.41017869971264365,0.0
2,0.6559107158184051,0.197375,0.03310570930498343,0.4492905890804597,0.0
3,0.6538473899364472,0.20725,0.06215135589872937,0.4783270474137931,0.0
4,0.6567407737970352,0.207125,0.0678342131331453,0.45501077586206895,0.0
5,0.6497699998617172,0.21,0.08262131786968105,0.4495734554597701,0.0
6,0.6473676431179046,0.20975,0.05897533444542824,0.44657417385057463,0.0
7,0.6468667583465576,0.2096875,0.05502134840949174,0.45316989942528735,0.0
8,0.6512334544658661,0.2073125,0.052147991141025515,0.4749775502873563,0.0
9,0.6454845342636109,0.2095625,0.07756630856020964,0.45905172413793105,0.0
10,0.6490826750993729,0.212375,0.07847104894666425,0.48797593390804594,0.0
11,0.6433517149686814,0.1943125,0.031223500931121705,0.5143363864942528,0.02495
12,0.6416448811292649,0.1980625,0.000255022405907223,0.4638290229885058,0.04995
13,0.6469024500846863,0.1845625,0.002963004691562478,0.5109195402298851,0.07495
14,0.6450945179462433,0.1926875,0.041609512585340507,0.43377783764367817,0.09995
15,0.6436772884130478,0.1950625,0.0049773514283715705,0.4408809267241379,0.12495
16,0.6421401193141937,0.195375,0.012882295433749831,0.43940373563218393,0.14995
17,0.6391526690721512,0.1981875,0.0020569402800935856,0.44648886494252876,0.17495
18,0.6466950607299805,0.192,0.0028394369037214114,0.40850844109195394,0.19995
19,0.6427062542438507,0.1985,0.010626049879815825,0.44596354166666663,0.22495
20,0.6402052028179168,0.1945625,0.00629502683887103,0.43679507902298853,0.24995
21,0.6410170849561692,0.19925,-0.007029752580500646,0.452240481321839,0.27495
22,0.6419335714578629,0.197125,0.012256799821109434,0.4752918462643678,0.29995
23,0.644067001581192,0.198,0.00202310469949293,0.4251077586206897,0.32495
24,0.6417397550344467,0.1965625,-0.014660110793816943,0.44778645833333325,0.34995
25,0.6425983464717865,0.19125,0.013993135862534032,0.43572647270114945,0.37495
26,0.6432306537628174,0.194625,-0.0025356970235767633,0.4533584770114943,0.39995
27,0.643608962059021,0.190625,0.008653340151720968,0.463128591954023,0.42495
28,0.6401319570541382,0.1944375,-0.008718968413821016,0.4881645114942529,0.44995
29,0.6408125782012939,0.1959375,0.020039384319236124,0.48034752155172417,0.47495
30,0.6463934564590454,0.198625,0.006467534135210693,0.46461027298850566,0.49995
31,0.6447202159762383,0.189,-0.009787881877273747,0.4197108477011494,0.52495
32,0.6457048083543777,0.1950625,-0.015610159962880737,0.5157776580459771,0.54995
33,0.6407093458175659,0.19475,0.009017718440300172,0.43613505747126435,0.57495
34,0.6446557116508483,0.195375,0.0011382716030640502,0.45672593390804594,0.59995
35,0.640926125049591,0.19525,0.0028166591002667276,0.4808099856321839,0.62495
36,0.6403052333593369,0.2005,0.0,0.43787266522988505,0.64995
37,0.64746752846241,0.19675,-0.0010931986557055936,0.4432830459770115,0.67495
38,0.641949434876442,0.19875,0.014307485139664873,0.42176275143678166,0.69995
39,0.64142127430439,0.1966875,0.013725425275400124,0.48327047413793095,0.72495
40,0.6416670124530792,0.1955625,0.026793405786598057,0.4348150143678161,0.74995
41,0.6408148460388183,0.1964375,0.020080193981277823,0.46816630747126436,0.77495
42,0.6438795610070228,0.1995,0.0019979010069844975,0.43992456896551724,0.79995
43,0.6398609668016434,0.1959375,0.007177611990363911,0.4449982040229885,0.82495
44,0.6422043894529342,0.1961875,-0.0007514132765092071,0.47215337643678157,0.84995
45,0.6434054626226425,0.192,0.014014314594527996,0.4580549568965518,0.87495
46,0.6461889469623565,0.1955625,0.0021784220149129226,0.4661323635057471,0.89995
47,0.645411166369915,0.1969375,0.0027056549324658598,0.4517600574712644,0.92495
48,0.6441839343309402,0.195,0.014496742836712284,0.4412984913793104,0.94995
49,0.6455758720636368,0.193625,0.003019212747018665,0.4818067528735632,0.97495
50,0.6429625232219696,0.1978125,0.0036702994094523506,0.41882632902298855,0.99995
