Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.7692383703253269,Diag AUC on Target Hospital
Final_Target_Diagnosis_MCC,0.43958679866229966,Diag MCC on Target Hospital
Final_Target_Diagnosis_Acc,0.7927031509121062,Diag Accuracy on Target Hospital
Final_Silhouette_Diagnosis,0.23541993,Clustering quality by pathology (Final_)
Final_Silhouette_Domain,-0.25878972,Clustering quality by hospital (Final_)
Best_Target_Diagnosis_AUC,0.7635527515962299,Diag AUC on Target Hospital
Best_Target_Diagnosis_MCC,0.4156419287761583,Diag MCC on Target Hospital
Best_Target_Diagnosis_Acc,0.7495854063018242,Diag Accuracy on Target Hospital
Best_Silhouette_Diagnosis,0.24325737,Clustering quality by pathology (Best_)
Best_Silhouette_Domain,-0.27203822,Clustering quality by hospital (Best_)
