Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.7851546164850886,Diag AUC on Target Hospital
Final_Target_Diagnosis_MCC,0.434284137030719,Diag MCC on Target Hospital
Final_Target_Diagnosis_Acc,0.735249621785174,Diag Accuracy on Target Hospital
Final_Silhouette_Diagnosis,0.24236476,Clustering quality by pathology (Final_)
Final_Silhouette_Domain,-0.29406244,Clustering quality by hospital (Final_)
Best_Target_Diagnosis_AUC,0.7738142401232531,Diag AUC on Target Hospital
Best_Target_Diagnosis_MCC,0.46169331900523525,Diag MCC on Target Hospital
Best_Target_Diagnosis_Acc,0.7685325264750378,Diag Accuracy on Target Hospital
Best_Silhouette_Diagnosis,0.2352711,Clustering quality by pathology (Best_)
Best_Silhouette_Domain,-0.26203233,Clustering quality by hospital (Best_)
