Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.7934320647127415,Diag AUC on Target Hospital
Final_Target_Diagnosis_MCC,0.5081914816659092,Diag MCC on Target Hospital
Final_Target_Diagnosis_Acc,0.7691850089232599,Diag Accuracy on Target Hospital
Final_Silhouette_Diagnosis,0.23051104,Clustering quality by pathology (Final_)
Final_Silhouette_Domain,-0.26660392,Clustering quality by hospital (Final_)
Best_Target_Diagnosis_AUC,0.8082699327481908,Diag AUC on Target Hospital
Best_Target_Diagnosis_MCC,0.5027416277137383,Diag MCC on Target Hospital
Best_Target_Diagnosis_Acc,0.7697798929208804,Diag Accuracy on Target Hospital
Best_Silhouette_Diagnosis,0.22745092,Clustering quality by pathology (Best_)
Best_Silhouette_Domain,-0.24878955,Clustering quality by hospital (Best_)
