Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.7840692640692639,Diag AUC on Target Hospital
Final_Target_Diagnosis_MCC,0.48733694374998077,Diag MCC on Target Hospital
Final_Target_Diagnosis_Acc,0.7669902912621359,Diag Accuracy on Target Hospital
Final_Silhouette_Diagnosis,0.23868814,Clustering quality by pathology (Final_)
Final_Silhouette_Domain,-0.30927628,Clustering quality by hospital (Final_)
Best_Target_Diagnosis_AUC,0.7293419913419914,Diag AUC on Target Hospital
Best_Target_Diagnosis_MCC,0.4166780652216631,Diag MCC on Target Hospital
Best_Target_Diagnosis_Acc,0.6485436893203883,Diag Accuracy on Target Hospital
Best_Silhouette_Diagnosis,0.25718692,Clustering quality by pathology (Best_)
Best_Silhouette_Domain,-0.42583618,Clustering quality by hospital (Best_)
