Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.7485446842053404,Diag AUC on Target Hospital
Final_Target_Diagnosis_MCC,0.4590061100583957,Diag MCC on Target Hospital
Final_Target_Diagnosis_Acc,0.7338551859099804,Diag Accuracy on Target Hospital
Final_Silhouette_Diagnosis,0.23745474,Clustering quality by pathology (Final_)
Final_Silhouette_Domain,-0.43822974,Clustering quality by hospital (Final_)
Best_Target_Diagnosis_AUC,0.7737589910335994,Diag AUC on Target Hospital
Best_Target_Diagnosis_MCC,0.4784089766531981,Diag MCC on Target Hospital
Best_Target_Diagnosis_Acc,0.7475538160469667,Diag Accuracy on Target Hospital
Best_Silhouette_Diagnosis,0.21437046,Clustering quality by pathology (Best_)
Best_Silhouette_Domain,-0.25494975,Clustering quality by hospital (Best_)
