Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.7791573460987831,Diag AUC on Target Hospital
Final_Target_Diagnosis_MCC,0.41271850249128,Diag MCC on Target Hospital
Final_Target_Diagnosis_Acc,0.7081736909323116,Diag Accuracy on Target Hospital
Final_Silhouette_Diagnosis,0.26332194,Clustering quality by pathology (Final_)
Final_Silhouette_Domain,-0.43460733,Clustering quality by hospital (Final_)
Best_Target_Diagnosis_AUC,0.7910826771653543,Diag AUC on Target Hospital
Best_Target_Diagnosis_MCC,0.43450021731609484,Diag MCC on Target Hospital
Best_Target_Diagnosis_Acc,0.7174329501915708,Diag Accuracy on Target Hospital
Best_Silhouette_Diagnosis,0.2555993,Clustering quality by pathology (Best_)
Best_Silhouette_Domain,-0.36135358,Clustering quality by hospital (Best_)
