Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.7922330303287741,Diag AUC on Target Hospital
Final_Target_Diagnosis_MCC,0.5221059582671608,Diag MCC on Target Hospital
Final_Target_Diagnosis_Acc,0.7872807017543859,Diag Accuracy on Target Hospital
Final_Domain_MCC,-0.003682641393487877,Ability to distinguish hospitals (Final_)
Final_Silhouette_Diagnosis,0.17690864,Clustering quality by pathology (Final_)
Final_Silhouette_Domain,-0.19424959,Clustering quality by hospital (Final_)
Best_Target_Diagnosis_AUC,0.8172627644210346,Diag AUC on Target Hospital
Best_Target_Diagnosis_MCC,0.47849598747368044,Diag MCC on Target Hospital
Best_Target_Diagnosis_Acc,0.7192982456140351,Diag Accuracy on Target Hospital
Best_Domain_MCC,0.006299598742962902,Ability to distinguish hospitals (Best_)
Best_Silhouette_Diagnosis,0.20614463,Clustering quality by pathology (Best_)
Best_Silhouette_Domain,-0.25820142,Clustering quality by hospital (Best_)
