Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.763567953785345,Diag AUC on Target Hospital
Final_Target_Diagnosis_MCC,0.4166427051085334,Diag MCC on Target Hospital
Final_Target_Diagnosis_Acc,0.7711442786069652,Diag Accuracy on Target Hospital
Final_Domain_MCC,-0.003136667133829794,Ability to distinguish hospitals (Final_)
Final_Silhouette_Diagnosis,0.1667384,Clustering quality by pathology (Final_)
Final_Silhouette_Domain,-0.22089079,Clustering quality by hospital (Final_)
Best_Target_Diagnosis_AUC,0.7571526299787169,Diag AUC on Target Hospital
Best_Target_Diagnosis_MCC,0.38972419128504127,Diag MCC on Target Hospital
Best_Target_Diagnosis_Acc,0.736318407960199,Diag Accuracy on Target Hospital
Best_Domain_MCC,0.0014987179283587222,Ability to distinguish hospitals (Best_)
Best_Silhouette_Diagnosis,0.22104944,Clustering quality by pathology (Best_)
Best_Silhouette_Domain,-0.26793253,Clustering quality by hospital (Best_)
