Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.8048700350467289,Diag AUC on Target Hospital
Final_Target_Diagnosis_MCC,0.5980208674146397,Diag MCC on Target Hospital
Final_Target_Diagnosis_Acc,0.8,Diag Accuracy on Target Hospital
Final_Domain_MCC,0.01480401017573666,Ability to distinguish hospitals (Final_)
Final_Silhouette_Diagnosis,0.16142675,Clustering quality by pathology (Final_)
Final_Silhouette_Domain,-0.20450728,Clustering quality by hospital (Final_)
Best_Target_Diagnosis_AUC,0.8459404205607477,Diag AUC on Target Hospital
Best_Target_Diagnosis_MCC,0.6250670299056497,Diag MCC on Target Hospital
Best_Target_Diagnosis_Acc,0.8127659574468085,Diag Accuracy on Target Hospital
Best_Domain_MCC,0.00721052774200136,Ability to distinguish hospitals (Best_)
Best_Silhouette_Diagnosis,0.20494726,Clustering quality by pathology (Best_)
Best_Silhouette_Domain,-0.2697883,Clustering quality by hospital (Best_)
