Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.8293705081425198,Diag AUC on Target Hospital
Final_Target_Diagnosis_MCC,0.5157291537790243,Diag MCC on Target Hospital
Final_Target_Diagnosis_Acc,0.7522980164489599,Diag Accuracy on Target Hospital
Final_Domain_MCC,0.00808285358416598,Ability to distinguish hospitals (Final_)
Final_Silhouette_Diagnosis,0.17863528,Clustering quality by pathology (Final_)
Final_Silhouette_Domain,-0.21425752,Clustering quality by hospital (Final_)
Best_Target_Diagnosis_AUC,0.8099091864163932,Diag AUC on Target Hospital
Best_Target_Diagnosis_MCC,0.5055889882990909,Diag MCC on Target Hospital
Best_Target_Diagnosis_Acc,0.7634252539912917,Diag Accuracy on Target Hospital
Best_Domain_MCC,0.015159292056921193,Ability to distinguish hospitals (Best_)
Best_Silhouette_Diagnosis,0.21720581,Clustering quality by pathology (Best_)
Best_Silhouette_Domain,-0.27837735,Clustering quality by hospital (Best_)
