Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.6545209798307297,Diag AUC on Target Hospital
Final_Target_Diagnosis_MCC,0.28653084922362004,Diag MCC on Target Hospital
Final_Target_Diagnosis_Acc,0.6528662420382165,Diag Accuracy on Target Hospital
Final_Domain_MCC,-0.0005557310555723314,Ability to distinguish hospitals (Final_)
Final_Silhouette_Diagnosis,0.15224345,Clustering quality by pathology (Final_)
Final_Silhouette_Domain,-0.2925343,Clustering quality by hospital (Final_)
Best_Target_Diagnosis_AUC,0.6735849404185439,Diag AUC on Target Hospital
Best_Target_Diagnosis_MCC,0.2752656944935558,Diag MCC on Target Hospital
Best_Target_Diagnosis_Acc,0.6449044585987261,Diag Accuracy on Target Hospital
Best_Domain_MCC,-0.012749336291391737,Ability to distinguish hospitals (Best_)
Best_Silhouette_Diagnosis,0.19798477,Clustering quality by pathology (Best_)
Best_Silhouette_Domain,-0.25470954,Clustering quality by hospital (Best_)
