Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.8124678910865655,Diag AUC on Target Hospital
Final_Target_Diagnosis_MCC,0.4942283584102235,Diag MCC on Target Hospital
Final_Target_Diagnosis_Acc,0.7812887236679058,Diag Accuracy on Target Hospital
Final_Domain_MCC,0.01405576178822937,Ability to distinguish hospitals (Final_)
Final_Silhouette_Diagnosis,0.21772598,Clustering quality by pathology (Final_)
Final_Silhouette_Domain,-0.25921354,Clustering quality by hospital (Final_)
Best_Target_Diagnosis_AUC,0.8099992822713467,Diag AUC on Target Hospital
Best_Target_Diagnosis_MCC,0.4710415148916553,Diag MCC on Target Hospital
Best_Target_Diagnosis_Acc,0.7688971499380421,Diag Accuracy on Target Hospital
Best_Domain_MCC,0.08511686994342066,Ability to distinguish hospitals (Best_)
Best_Silhouette_Diagnosis,0.18566997,Clustering quality by pathology (Best_)
Best_Silhouette_Domain,-0.22863904,Clustering quality by hospital (Best_)
