Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.7527269146997063,Diag AUC on Target Hospital
Final_Target_Diagnosis_MCC,0.4718111518979797,Diag MCC on Target Hospital
Final_Target_Diagnosis_Acc,0.761709434322236,Diag Accuracy on Target Hospital
Final_Domain_MCC,0.015083089782905753,Ability to distinguish hospitals (Final_)
Final_Silhouette_Diagnosis,0.15840584,Clustering quality by pathology (Final_)
Final_Silhouette_Domain,-0.28607637,Clustering quality by hospital (Final_)
Best_Target_Diagnosis_AUC,0.7991279730270475,Diag AUC on Target Hospital
Best_Target_Diagnosis_MCC,0.4816420752067712,Diag MCC on Target Hospital
Best_Target_Diagnosis_Acc,0.7717256510540875,Diag Accuracy on Target Hospital
Best_Domain_MCC,0.05367569596842324,Ability to distinguish hospitals (Best_)
Best_Silhouette_Diagnosis,0.21837316,Clustering quality by pathology (Best_)
Best_Silhouette_Domain,-0.3369625,Clustering quality by hospital (Best_)
