Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.6862414659639292,Diag AUC on Target Hospital
Final_Target_Diagnosis_MCC,0.362318124051752,Diag MCC on Target Hospital
Final_Target_Diagnosis_Acc,0.6316467934257171,Diag Accuracy on Target Hospital
Final_Domain_MCC,0.015595491323763621,Ability to distinguish hospitals (Final_)
Final_Silhouette_Diagnosis,0.17641336,Clustering quality by pathology (Final_)
Final_Silhouette_Domain,-0.27313277,Clustering quality by hospital (Final_)
Best_Target_Diagnosis_AUC,0.7476424933840371,Diag AUC on Target Hospital
Best_Target_Diagnosis_MCC,0.3694450914449147,Diag MCC on Target Hospital
Best_Target_Diagnosis_Acc,0.6841766032871415,Diag Accuracy on Target Hospital
Best_Domain_MCC,0.005005731564386583,Ability to distinguish hospitals (Best_)
Best_Silhouette_Diagnosis,0.2374338,Clustering quality by pathology (Best_)
Best_Silhouette_Domain,-0.24523652,Clustering quality by hospital (Best_)
