Epoch,Train_Total_Loss,Train_Cls_Loss,Train_Dom_Loss,Train_Dom_Acc,Val_Cls_Loss,Val_AUC,Test_Cls_Loss,Test_AUC,Alpha
1,6.375743647575378,0.6774036872386933,2.988725202560425,0.1881875,0.6748163746462927,0.7502452184911862,0.62941082008183,0.7219717249076704,0.0
2,6.229864510536194,0.6673169409036637,2.8932798118591307,0.208375,0.6754074030452304,0.7407582173825368,0.6386918115119139,0.6912115354545723,0.0
3,6.207134337425232,0.6685475494861602,2.8643965911865235,0.2186875,0.6753024836381276,0.7452239886249106,0.6273283045738935,0.7108231352384704,0.0
4,6.208304291725159,0.6715127905607223,2.850740348815918,0.2135,0.6660267412662506,0.7400342402947204,0.642870582640171,0.6878139354049871,0.0
5,6.180600926399231,0.6717732781171799,2.82173454284668,0.2203125,0.6663880692587958,0.730269982034095,0.6426923306037983,0.7087240754577372,0.0
6,6.185889554023743,0.669930852651596,2.836235290527344,0.2205625,0.667865522702535,0.7485215758508021,0.6408246010541916,0.7065336756684487,0.0
7,6.148159017562866,0.6663915512561798,2.8162012634277342,0.222375,0.6682160192065769,0.7349173416310795,0.6408596200247606,0.6947744163044562,0.0
8,6.146493098258972,0.6659225540161133,2.816880340576172,0.2200625,0.6672890524069468,0.73418726385945,0.6343350342164437,0.6847247194072137,0.0
9,6.162730930328369,0.6686875396966934,2.819293243408203,0.216125,0.6652572989463806,0.7291513359333249,0.652585423241059,0.6788444497333181,0.0
10,6.099465713500977,0.6655364646911621,2.7717833709716797,0.226375,0.668311122390959,0.7184114740875177,0.655631552139918,0.6327671615210516,0.0
11,6.160110363960266,0.6645276478528976,2.837472122192383,0.2139375,0.6676029337777032,0.7340514827914022,0.6454629624883333,0.6936977939965902,0.02495
12,6.1756610050201415,0.6664092102050782,2.843614959716797,0.215625,0.6661913375059764,0.7374004523702103,0.643578078597784,0.6855623344924922,0.04995
13,6.157549220085144,0.667317684173584,2.820960807800293,0.2131875,0.6698317216502295,0.7372071292017798,0.6499250922352076,0.6981772431375057,0.07495
14,6.1678643922805785,0.6640845363140107,2.8474417114257813,0.2119375,0.6647659301757812,0.7342707305513121,0.6458230800926685,0.6829585000682588,0.09995
15,6.144199739456177,0.6589583020210266,2.849408233642578,0.208875,0.6612700707382626,0.727836099820042,0.6528725822766622,0.6617391138704862,0.12495
16,6.158945238113403,0.665667744755745,2.830606506347656,0.2155625,0.6688335286246405,0.7357015812917708,0.6399342510849237,0.6761712562412077,0.14995
17,6.146454430580139,0.6615924139022827,2.8384923706054686,0.214375,0.662472085820304,0.7447719366109747,0.6334276075164477,0.7063583136262079,0.17495
18,6.17163279914856,0.6636067906618118,2.853598846435547,0.213875,0.6638573606808981,0.7376193825461155,0.6433499430616697,0.6999966449525578,0.19995
19,6.159867065429688,0.6622912170886993,2.8484109802246094,0.2075625,0.6660991642210219,0.7485895275887294,0.6488704979419708,0.7156007892522415,0.22495
20,6.168606169700623,0.6644129937887192,2.8465411987304687,0.2126875,0.6656571275658077,0.7371600934799544,0.6489197220653296,0.7017591533180778,0.24995
21,6.172075980186462,0.6642921987771988,2.850614990234375,0.21,0.6659544832176633,0.7427753525627951,0.6445494915048281,0.7170760764271941,0.27495
22,6.1506751480102535,0.6633822219371796,2.8337640380859375,0.2135,0.6678030980957879,0.7384476792577171,0.6579361626257499,0.7027432375819472,0.29995
23,6.1678075580596925,0.6649369518756867,2.843122802734375,0.213875,0.6650202949841817,0.7389493023311955,0.6395049647738537,0.6989581670922439,0.32495
24,6.168195051193237,0.6629019701480865,2.8536851806640624,0.207,0.668019484811359,0.7457500964658047,0.6379736152788004,0.7088334513820784,0.34995
25,6.165063732147217,0.6662277292013168,2.833925079345703,0.2181875,0.666869557566113,0.7443269008204239,0.6474496883650621,0.7039390942170358,0.37495
26,6.151859566688538,0.6606073929071427,2.8488226013183593,0.2105625,0.6720358285639021,0.7421387673313009,0.6238591093569994,0.710703086456455,0.39995
27,6.169631011962891,0.6656180571317672,2.8415407257080076,0.2186875,0.6697183668613433,0.7032727060138625,0.6379506339629492,0.6727547077830878,0.42495
28,6.157153568267822,0.6622178822755813,2.846064147949219,0.21125,0.6683875302473704,0.7308023961023296,0.6392651305844387,0.7105102279674287,0.44995
29,6.155055646896362,0.6621250355243683,2.844430480957031,0.2148125,0.671611280573739,0.7222421695623649,0.6380110625177622,0.6723213901283305,0.47495
30,6.1663897485733035,0.6640612262487412,2.8460836181640623,0.2128125,0.6687169790267944,0.7338444307413512,0.6529487154136101,0.707987674428203,0.49995
31,6.169024561882019,0.6634855754375458,2.8515966796875,0.215125,0.670594910118315,0.7181915866391674,0.6395253849526247,0.681173799908888,0.52495
32,6.19260240650177,0.6644257338047027,2.8704737243652345,0.206125,0.6669193963209789,0.7205651179037278,0.6407020191351572,0.6905460657081508,0.54995
33,6.188996920585632,0.6644646761417389,2.866673553466797,0.210125,0.668446315659417,0.7529101148307401,0.6443453244864941,0.7258771243537533,0.57495
34,6.16370018196106,0.662932631969452,2.8490370178222655,0.214,0.6632077144251929,0.7328254394036277,0.6446973402053118,0.6824035862805901,0.59995
35,6.187502462387085,0.6640284292697907,2.867360321044922,0.208625,0.664565853940116,0.7358672589758755,0.6501409181704124,0.6848255230408278,0.62495
36,6.178886664390564,0.6647471327781678,2.8551510009765626,0.2134375,0.6643338077598148,0.7344354234475202,0.6300214597334465,0.7022714854563795,0.64995
37,6.185215016365051,0.6655088174343109,2.857670928955078,0.2111875,0.6673555884096357,0.7024923161515904,0.644822720438242,0.6472427733824109,0.67495
38,6.179301187515259,0.6651993910074234,2.8533042297363282,0.213125,0.665899493959215,0.7282715225954218,0.6300437102715174,0.6757481402642692,0.69995
39,6.1848616771698,0.6652809553146363,2.8584569091796874,0.2113125,0.6667281415727403,0.7075956322961069,0.641388738527894,0.6592388018823748,0.72495
40,6.157646235466004,0.6618817393779755,2.848237548828125,0.2139375,0.6655476106537713,0.713737966097429,0.6436634746690592,0.6577846896493461,0.74995
41,6.2133575582504275,0.6705112812519074,2.8608011474609376,0.2110625,0.665503321091334,0.7131378655388284,0.6441828440874815,0.6639485999156094,0.77495
42,6.186995548248291,0.6655702033042907,2.85914453125,0.2130625,0.6678561627864837,0.7127648281902511,0.6428644868234793,0.6640023411340888,0.79995
43,6.1959314594268795,0.6653983528614045,2.868939697265625,0.2055625,0.6651048057609135,0.7071990320629159,0.6508728365103403,0.6444349097381135,0.82495
44,6.177702571868896,0.6628964089155197,2.863220520019531,0.21275,0.6680267188284132,0.6853443935097161,0.6557147583613793,0.635253477690736,0.84995
45,6.174207880973816,0.6642772619724273,2.852821563720703,0.2148125,0.6656914969285329,0.6912887759082843,0.6419241428375244,0.6310629020988539,0.87495
46,6.211384848594665,0.6668431808948517,2.8771689453125,0.209,0.6704736696349249,0.686953923093036,0.6408816346277794,0.6358788160811158,0.89995
47,6.226320406913757,0.6699256248474121,2.8766922912597654,0.2124375,0.6718401359187232,0.6875103223389514,0.6364580976466337,0.6457209600087175,0.92495
48,6.228653117179871,0.6714249376058579,2.8715284423828127,0.208625,0.6687410593032836,0.6983493427742948,0.6321348200241724,0.6587045048189031,0.94995
49,6.193076564788818,0.6654391627311707,2.8658807678222655,0.21325,0.6718304369184706,0.6619932799131255,0.6477741661171118,0.6123651352504015,0.97495
50,6.2098376121521,0.6688124337196351,2.865775451660156,0.21425,0.6739990611871084,0.6635850547579701,0.6464942134916782,0.6230140568813338,0.99995
