Szpital,AUC_Best_Baseline,AUC_Best_Baseline_std,MCC_Best_Baseline,AUC_Final_Baseline,AUC_Final_Baseline_std,MCC_Final_Baseline,Alpha_Best_Baseline
H2,0.8859196534720681,0.017359312005277662,0.646847140346806,0.8692853854891429,0.017190175401445455,0.637964744196851,0.0
H16,0.8153036567015217,0.02271373120680048,0.4232698821154469,0.7422200085985843,0.019108639890932862,0.3957985665219379,0.0
H20,0.834595189232163,0.012382111520411397,0.5495523792487259,0.8231275537559858,0.014587479596876106,0.540044891851146,0.0
H13,,0.014748531946961158,,0.779709090909091,0.020616831474430768,0.4853595131830339,0.0
H17,,0.014605660136409682,,0.7977588146309297,0.015424858802225208,0.4767285594532389,0.0
H4,,0.019456980811622296,,0.8270968753563691,0.017267991113123732,0.5659784413078679,0.0
H12,,0.026773748972194863,,0.7398540802437128,0.039696911401115254,0.3721132361941492,0.0
H9,,0.02676757656701983,,0.8143621973929236,0.01565278822374334,0.5233666446674894,0.0
H11,,0.014588699194201145,,0.8421206951700608,0.012632971416585136,0.5419345586014979,0.0
H5,,0.010310493589153475,,0.8605651243949115,0.009757999929955555,0.6174331041535575,0.0
H8,,0.01473590635338212,,0.8670277449117397,0.014174046716813809,0.5910624972712887,0.0
H7,,0.04806683527245626,,0.7774460413256957,0.03029242737257797,0.4214833805503251,0.0
H10,,0.012928792388106326,,0.8030427408847537,0.022977134930207626,0.4885004943281788,0.0
H3,,0.01632659088644716,,0.8975600506444023,0.021746333834237238,0.6510001362095278,0.0
H1,,0.0234638895113096,,0.8856755584471914,0.03716396976793808,0.6064846612561234,0.0
H23,,0.0220493785509968,,0.764415549700233,0.028336023629616104,0.3016610929993232,0.0
H26,,0.012131136333919322,,0.7520867913687436,0.00694517061999264,0.4222986715919028,0.0
H24,,0.012051864869990419,,0.7429151496797044,0.01710136323528261,0.3503312610010788,0.0
H22,,0.021745730681258412,,0.726627689739829,0.014899749842369747,0.3664865660419086,0.0
H25,,0.0054503714686279904,,0.7514218002127094,0.008142307351837403,0.3301805880935626,0.0
H27,,0.00804124033931617,,0.7543558309907034,0.00797210277364862,0.2599085718162254,0.0
H30,,0.033691683738565625,,0.4632767600574712,0.01403027288747079,0.0155142780113176,0.0
H18,,0.017243466866410855,,0.786009433435928,0.01017604579186981,0.4198003891635591,0.0
H14,,0.01833327873029435,,0.8158024409346039,0.02462163132210728,0.4463240107724228,0.0
H28,,0.023184915585956683,,0.7048590926323772,0.014272875559282286,0.3831937263467712,0.0
H19,,0.038217216408111467,,0.7283127276458217,0.013815851785968333,0.4587277752410418,0.0
H15,,0.008330038950046187,,0.7973136719199981,0.007626761164384628,0.4376150610493391,0.0
H21,,0.038617343122162334,,0.7077083333333334,0.03908564381725637,0.3817280050523799,0.0
H6,,0.022188535024201688,,0.867841787581563,0.010781134912761349,0.6181642809440383,0.0
H29,,0.01781744957547226,,0.6791863895177334,0.015429592270783114,0.2792820724494726,0.0
