Szpital,AUC_Best,MCC_Best,AUC_Final,MCC_Final
H1,0.8924778761061947,0.6669681994206677,0.8730847029077117,0.6093116123979232
H3,0.874199774967021,0.5821534608026887,0.8707111171464783,0.5962470342990407
H2,0.886373917299478,0.6059576394062817,0.8487686135500712,0.5691399175889342
H16,0.8031991446857565,0.3364784754624793,0.8329605655850595,0.3768777926272204
H6,0.8099091864163932,0.5055889882990909,0.8293705081425198,0.5157291537790243
H26,0.8284234891561414,0.5121870249958624,0.8284234891561414,0.5121870249958624
H14,0.805973793303182,0.4419769622078907,0.815174649572707,0.4507334251830018
H17,0.8099992822713467,0.4710415148916553,0.8124678910865655,0.4942283584102235
H25,0.7750992266194181,0.4316849913865074,0.8083933216635002,0.4929663155836348
H9,0.8294285714285714,0.503776667409801,0.8077056277056276,0.5069369074915944
H13,0.8459404205607477,0.6250670299056497,0.8048700350467289,0.5980208674146397
H11,0.8005444646098003,0.5739127083751323,0.795616361859556,0.5676579474268891
H5,0.8172627644210346,0.4784959874736804,0.7922330303287741,0.5221059582671608
H4,0.8090884665422252,0.5066254886424864,0.7857839809944,0.5214435049049997
H21,0.7804545454545455,0.4931727279793982,0.7857575757575759,0.5561459705404154
H15,0.796908024582744,0.4770758304505877,0.7853098706204831,0.4751103780394228
H8,0.82848809773889,0.505993869126709,0.7759691232300353,0.4801623833013776
H28,0.7571526299787169,0.3897241912850412,0.763567953785345,0.4166427051085334
H12,0.7964953178056028,0.4094773872178697,0.7542676941850595,0.4067646753799631
H10,0.7991279730270475,0.4816420752067712,0.7527269146997063,0.4718111518979797
H20,0.7780785737867283,0.4633272685981883,0.7523330031913722,0.4854266894788627
H18,0.7410619940395323,0.3706854818307039,0.737786324565149,0.4221637080996896
H7,0.7775843759450317,0.4262724939798423,0.7331722823526101,0.3674114695733614
H19,0.730007558578987,0.3763418651499255,0.7148148148148148,0.4036918109019557
H23,0.6738810055160217,0.276557205422022,0.6518432355046527,0.2746168784685182
