Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.862259190301299,Target Eval
Final_Target_Diagnosis_MCC,0.5336605666689507,Target Eval
Final_Target_Diagnosis_Acc,0.7692307692307693,Target Eval
Final_Domain_MCC,0.0,
Final_Domain_Acc,0.0,
Final_Silhouette_Domain,-0.2861214,
Best_Target_Diagnosis_AUC,0.8584557573284364,Target Eval
Best_Target_Diagnosis_MCC,0.5291773119984254,Target Eval
Best_Target_Diagnosis_Acc,0.7724628312863607,Target Eval
Best_Domain_MCC,0.0,
Best_Domain_Acc,0.0,
Best_Silhouette_Domain,-0.271181,
