Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.9021261325917288,Target Eval
Final_Target_Diagnosis_MCC,0.7037663026007009,Target Eval
Final_Target_Diagnosis_Acc,0.8640350877192983,Target Eval
Final_Domain_MCC,0.0,
Final_Domain_Acc,0.0,
Final_Silhouette_Domain,-0.2018741,
Best_Target_Diagnosis_AUC,0.8986274333901498,Target Eval
Best_Target_Diagnosis_MCC,0.70778683461395,Target Eval
Best_Target_Diagnosis_Acc,0.8640350877192983,Target Eval
Best_Domain_MCC,0.0,
Best_Domain_Acc,0.0,
Best_Silhouette_Domain,-0.21500744,
