Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.7760283847819246,Target Eval
Final_Target_Diagnosis_MCC,0.3105589830858193,Target Eval
Final_Target_Diagnosis_Acc,0.6550724637681159,Target Eval
Final_Domain_MCC,0.0,
Final_Domain_Acc,0.0,
Final_Silhouette_Domain,-0.2234612,
Best_Target_Diagnosis_AUC,0.7739314613654188,Target Eval
Best_Target_Diagnosis_MCC,0.3006592065686163,Target Eval
Best_Target_Diagnosis_Acc,0.6434782608695652,Target Eval
Best_Domain_MCC,0.0,
Best_Domain_Acc,0.0,
Best_Silhouette_Domain,-0.25480103,
