Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.7985285795132995,Target Eval
Final_Target_Diagnosis_MCC,0.4730831629007744,Target Eval
Final_Target_Diagnosis_Acc,0.726474278544542,Target Eval
Final_Domain_MCC,0.0,
Final_Domain_Acc,0.0,
Final_Silhouette_Domain,-0.22640507,
Best_Target_Diagnosis_AUC,0.7945927869527192,Target Eval
Best_Target_Diagnosis_MCC,0.4629654153326113,Target Eval
Best_Target_Diagnosis_Acc,0.7151819322459222,Target Eval
Best_Domain_MCC,0.0,
Best_Domain_Acc,0.0,
Best_Silhouette_Domain,-0.24802917,
