Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.9230480480480481,Target Eval
Final_Target_Diagnosis_MCC,0.7171110403522943,Target Eval
Final_Target_Diagnosis_Acc,0.8614232209737828,Target Eval
Final_Domain_MCC,0.0,
Final_Domain_Acc,0.0,
Final_Silhouette_Domain,-0.196642,
Best_Target_Diagnosis_AUC,0.9265130515130514,Target Eval
Best_Target_Diagnosis_MCC,0.7314047712209049,Target Eval
Best_Target_Diagnosis_Acc,0.8689138576779026,Target Eval
Best_Domain_MCC,0.0,
Best_Domain_Acc,0.0,
Best_Silhouette_Domain,-0.312392,
