Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.548166089965398,Target Eval
Final_Target_Diagnosis_MCC,0.07224461755461126,Target Eval
Final_Target_Diagnosis_Acc,0.6035031847133758,Target Eval
Final_Domain_MCC,0.0,
Final_Domain_Acc,0.0,
Final_Silhouette_Domain,-0.23950781,
Best_Target_Diagnosis_AUC,0.5483910034602076,Target Eval
Best_Target_Diagnosis_MCC,0.08219847042352117,Target Eval
Best_Target_Diagnosis_Acc,0.5875796178343949,Target Eval
Best_Domain_MCC,0.030609025569244105,
Best_Domain_Acc,0.002643034825870647,
Best_Silhouette_Domain,-0.23053229,
