Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.8355481727574752,Target Eval
Final_Target_Diagnosis_MCC,0.6688721521745371,Target Eval
Final_Target_Diagnosis_Acc,0.8235294117647058,Target Eval
Final_Domain_MCC,0.0,
Final_Domain_Acc,0.0,
Final_Silhouette_Domain,-0.25844973,
Best_Target_Diagnosis_AUC,0.8355481727574752,Target Eval
Best_Target_Diagnosis_MCC,0.6688721521745371,Target Eval
Best_Target_Diagnosis_Acc,0.8235294117647058,Target Eval
Best_Domain_MCC,0.0,
Best_Domain_Acc,0.0,
Best_Silhouette_Domain,-0.21196237,
