Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.9264671013633669,Target Eval
Final_Target_Diagnosis_MCC,0.7181175114403842,Target Eval
Final_Target_Diagnosis_Acc,0.8612521150592216,Target Eval
Final_Domain_MCC,0.0,
Final_Domain_Acc,0.0,
Final_Silhouette_Domain,-0.22525057,
Best_Target_Diagnosis_AUC,0.9304149377593361,Target Eval
Best_Target_Diagnosis_MCC,0.7247887636528022,Target Eval
Best_Target_Diagnosis_Acc,0.8612521150592216,Target Eval
Best_Domain_MCC,0.0,
Best_Domain_Acc,0.0,
Best_Silhouette_Domain,-0.19298877,
