Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.6407710280373832,Diag AUC on Target Hospital
Final_Target_Diagnosis_MCC,0.40125565876371977,Diag MCC on Target Hospital
Final_Target_Diagnosis_Acc,0.6723404255319149,Diag Accuracy on Target Hospital
Final_Domain_MCC,0.5906061988926653,Ability to distinguish hospitals (Final_)
Final_Silhouette_Diagnosis,0.08214976,Clustering quality by pathology (Final_)
Final_Silhouette_Domain,-0.039681535,Clustering quality by hospital (Final_)
Best_Target_Diagnosis_AUC,0.8022415303738317,Diag AUC on Target Hospital
Best_Target_Diagnosis_MCC,0.5804430182786247,Diag MCC on Target Hospital
Best_Target_Diagnosis_Acc,0.7914893617021277,Diag Accuracy on Target Hospital
Best_Domain_MCC,0.39408341492839316,Ability to distinguish hospitals (Best_)
Best_Silhouette_Diagnosis,0.09478598,Clustering quality by pathology (Best_)
Best_Silhouette_Domain,-0.08540346,Clustering quality by hospital (Best_)
