Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.6543193889507355,Diag AUC on Target Hospital
Final_Target_Diagnosis_MCC,0.3519912554630012,Diag MCC on Target Hospital
Final_Target_Diagnosis_Acc,0.7300435413642961,Diag Accuracy on Target Hospital
Final_Domain_MCC,0.5689779048403757,Ability to distinguish hospitals (Final_)
Final_Silhouette_Diagnosis,0.08236758,Clustering quality by pathology (Final_)
Final_Silhouette_Domain,-0.04089084,Clustering quality by hospital (Final_)
Best_Target_Diagnosis_AUC,0.8048087546968042,Diag AUC on Target Hospital
Best_Target_Diagnosis_MCC,0.4706647886531941,Diag MCC on Target Hospital
Best_Target_Diagnosis_Acc,0.7585873246250605,Diag Accuracy on Target Hospital
Best_Domain_MCC,0.4962717527991653,Ability to distinguish hospitals (Best_)
Best_Silhouette_Diagnosis,0.09352491,Clustering quality by pathology (Best_)
Best_Silhouette_Domain,-0.1176744,Clustering quality by hospital (Best_)
