Epoch,Train_Total_Loss,Train_Cls_Loss,Train_Dom_Loss,Train_Dom_Acc,Val_Cls_Loss,Val_AUC,Test_Cls_Loss,Test_AUC,Alpha
1,6.348839525222778,0.6862623643875122,2.9175277066230776,0.2078125,0.6662438167466058,0.7520449624254871,0.732119508087635,0.722061494987553,0.0
2,5.948595852851867,0.6682831497192383,2.607180102825165,0.2870625,0.6657356275452508,0.7544976135418,0.721124492585659,0.7004350736278446,0.0
3,5.661976835250854,0.6681578426361084,2.3211876266002656,0.361,0.6632545093695322,0.7665698599717475,0.7151200771331787,0.6735272775249027,0.0
4,5.468051565170288,0.6658622270822525,2.138740438938141,0.4055625,0.6648185630639394,0.7592871366726345,0.727450430393219,0.6949329846355018,0.0
5,5.321313342094421,0.6655024631023407,1.9938010165691376,0.4459375,0.6701215704282125,0.763545666962304,0.7633384615182877,0.7018736471861472,0.0
6,5.245264854431152,0.6642702068090439,1.9239138085842133,0.46475,0.6666879965199365,0.7398666805988924,0.6883963048458099,0.6995514215977308,0.0
7,5.135830960273743,0.6617763271331787,1.8269493379592896,0.493,0.6692146380742391,0.7432396865422005,0.6971948966383934,0.643454580820852,0.0
8,5.062002074241638,0.6589975346326828,1.7670143954753876,0.504875,0.6649965253141191,0.7660937087865974,0.7326488569378853,0.7114552114552113,0.0
9,5.064184199333191,0.6613505355119705,1.7574315278530122,0.5120625,0.6649794419606526,0.7602944975587623,0.7027281224727631,0.6670348058902276,0.0
10,5.015406666755676,0.662419191122055,1.703310712337494,0.5200625,0.6821926474571228,0.7652851558459535,0.7430692315101624,0.68836291913215,0.0
11,4.975198596000672,0.660421174287796,1.6730927121639252,0.5320625,0.6686816010210249,0.7134387816168616,0.6864042058587074,0.6882117882117882,0.02495
12,4.955752137184143,0.6587875612974167,1.6618143265247345,0.529,0.6647238334019979,0.7542410378374921,0.7036466374993324,0.6718424479166666,0.04995
13,4.94738969039917,0.6622298967838287,1.6362402029037475,0.5405625,0.6632736093468137,0.7478099075313754,0.722229465842247,0.6523809523809524,0.07495
14,4.901167479515076,0.6590187653303147,1.606073651790619,0.544,0.6592457910378774,0.7479812815873215,0.7132822349667549,0.6555555555555557,0.09995
15,4.902915966033936,0.6576543267965317,1.6146443395614625,0.5445625,0.6622991820176443,0.7094425150466386,0.7334930822253227,0.636094674556213,0.12495
16,4.895489954948426,0.6584525681734085,1.6032270976305008,0.54975,0.6626947661240895,0.7329968487982672,0.705861821770668,0.6732963915825583,0.14995
17,4.910876715660096,0.6623184778690339,1.5992843294143677,0.547625,0.6673117134306166,0.7145138586645574,0.6800220385193825,0.6864064156945918,0.17495
18,4.848705520629883,0.6588927783966064,1.5542416353225708,0.5575625,0.6580152478482988,0.7303942794101416,0.6921248808503151,0.7059236947791165,0.19995
19,4.8785798463821415,0.6588915380239486,1.5841221593618393,0.5563125,0.658259450064765,0.7499080321887338,0.7049063220620155,0.7008471237194641,0.22495
