Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.5276883116883117,Diag AUC on Target Hospital
Final_Target_Diagnosis_MCC,0.18131892454585305,Diag MCC on Target Hospital
Final_Target_Diagnosis_Acc,0.6970873786407767,Diag Accuracy on Target Hospital
Final_Domain_MCC,0.5295813969992791,Ability to distinguish hospitals (Final_)
Final_Silhouette_Diagnosis,0.08024083,Clustering quality by pathology (Final_)
Final_Silhouette_Domain,-0.03564756,Clustering quality by hospital (Final_)
Best_Target_Diagnosis_AUC,0.7226320346320346,Diag AUC on Target Hospital
Best_Target_Diagnosis_MCC,0.43420017698225366,Diag MCC on Target Hospital
Best_Target_Diagnosis_Acc,0.7631067961165049,Diag Accuracy on Target Hospital
Best_Domain_MCC,0.47798724265511555,Ability to distinguish hospitals (Best_)
Best_Silhouette_Diagnosis,0.095210426,Clustering quality by pathology (Best_)
Best_Silhouette_Domain,-0.06911244,Clustering quality by hospital (Best_)
