Metric_Name,Value,Description
Final_Target_Diagnosis_AUC,0.5915139643624415,Target Eval
Final_Target_Diagnosis_MCC,0.19274484889450164,Target Eval
Final_Target_Diagnosis_Acc,0.494195688225539,Target Eval
Final_Domain_MCC,0.5455474186582884,
Final_Domain_Acc,0.5827114427860697,
Final_Silhouette_Domain,-0.058329254,
Best_Target_Diagnosis_AUC,0.7210918741311765,Target Eval
Best_Target_Diagnosis_MCC,0.37045883815325026,Target Eval
Best_Target_Diagnosis_Acc,0.7263681592039801,Target Eval
Best_Domain_MCC,0.22634431204468639,
Best_Domain_Acc,0.31032338308457713,
Best_Silhouette_Domain,-0.17974477,
