institution,method,classifier,pca,harmonisation,mcc,auc
H1,MINet,signal,NA,none,0.466,0.809
H1,MINet-DANN,signal,NA,dann,0.482,0.799
H1,MINet-DANN-CF,signal,NA,dann-cf,0.487,0.799
H1,MINet-MTL,signal,NA,none,0.384,0.772
H2,MINet,signal,NA,none,0.474,0.798
H2,MINet-DANN,signal,NA,dann,0.432,0.775
H2,MINet-DANN-CF,signal,NA,dann-cf,0.455,0.792
H2,MINet-MTL,signal,NA,none,0.438,0.785
H3,MINet,signal,NA,none,0.381,0.834
H3,MINet-DANN,signal,NA,dann,0.336,0.803
H3,MINet-DANN-CF,signal,NA,dann-cf,0.349,0.814
H3,MINet-MTL,signal,NA,none,0.314,0.779
H4,MINet,signal,NA,none,0.435,0.791
H4,MINet-DANN,signal,NA,dann,0.392,0.773
H4,MINet-DANN-CF,signal,NA,dann-cf,0.406,0.777
H4,MINet-MTL,signal,NA,none,0.47,0.809
H5,MINet,signal,NA,none,0.349,0.768
H5,MINet-DANN,signal,NA,dann,0.442,0.806
H5,MINet-DANN-CF,signal,NA,dann-cf,0.449,0.808
H5,MINet-MTL,signal,NA,none,0.345,0.75
H6,MINet,signal,NA,none,0.416,0.802
H6,MINet-DANN,signal,NA,dann,0.477,0.797
H6,MINet-DANN-CF,signal,NA,dann-cf,0.482,0.827
H6,MINet-MTL,signal,NA,none,0.441,0.788
H7,MINet,signal,NA,none,0.349,0.737
H7,MINet-DANN,signal,NA,dann,0.369,0.748
H7,MINet-DANN-CF,signal,NA,dann-cf,0.372,0.738
H7,MINet-MTL,signal,NA,none,0.29,0.692
H8,MINet,signal,NA,none,0.195,0.732
H8,MINet-DANN,signal,NA,dann,0.196,0.726
H8,MINet-DANN-CF,signal,NA,dann-cf,0.198,0.732
H8,MINet-MTL,signal,NA,none,0.176,0.714
H9,MINet,signal,NA,none,0.393,0.771
H9,MINet-DANN,signal,NA,dann,0.371,0.741
H9,MINet-DANN-CF,signal,NA,dann-cf,0.373,0.772
H9,MINet-MTL,signal,NA,none,0.319,0.74
H10,MINet,signal,NA,none,0.554,0.848
H10,MINet-DANN,signal,NA,dann,0.506,0.81
H10,MINet-DANN-CF,signal,NA,dann-cf,0.499,0.807
H10,MINet-MTL,signal,NA,none,0.471,0.805
H11,MINet,signal,NA,none,0.503,0.808
H11,MINet-DANN,signal,NA,dann,0.506,0.828
H11,MINet-DANN-CF,signal,NA,dann-cf,0.523,0.84
H11,MINet-MTL,signal,NA,none,0.528,0.838
H12,MINet,signal,NA,none,0.485,0.827
H12,MINet-DANN,signal,NA,dann,0.471,0.81
H12,MINet-DANN-CF,signal,NA,dann-cf,0.489,0.82
H12,MINet-MTL,signal,NA,none,0.406,0.793
H13,MINet,signal,NA,none,0.482,0.801
H13,MINet-DANN,signal,NA,dann,0.512,0.828
H13,MINet-DANN-CF,signal,NA,dann-cf,0.513,0.834
H13,MINet-MTL,signal,NA,none,0.413,0.793
H14,MINet,signal,NA,none,0.594,0.881
H14,MINet-DANN,signal,NA,dann,0.582,0.874
H14,MINet-DANN-CF,signal,NA,dann-cf,0.599,0.88
H14,MINet-MTL,signal,NA,none,0.548,0.862
H15,MINet,signal,NA,none,0.43,0.809
H15,MINet-DANN,signal,NA,dann,0.409,0.796
H15,MINet-DANN-CF,signal,NA,dann-cf,0.406,0.794
H15,MINet-MTL,signal,NA,none,0.382,0.792
H16,MINet,signal,NA,none,0.254,0.637
H16,MINet-DANN,signal,NA,dann,0.275,0.674
H16,MINet-DANN-CF,signal,NA,dann-cf,0.299,0.677
H16,MINet-MTL,signal,NA,none,0.217,0.626
H17,MINet,signal,NA,none,0.596,0.894
H17,MINet-DANN,signal,NA,dann,0.606,0.886
H17,MINet-DANN-CF,signal,NA,dann-cf,0.604,0.887
H17,MINet-MTL,signal,NA,none,0.496,0.839
H18,MINet,signal,NA,none,0.478,0.774
H18,MINet-DANN,signal,NA,dann,0.42,0.758
H18,MINet-DANN-CF,signal,NA,dann-cf,0.44,0.76
H18,MINet-MTL,signal,NA,none,0.372,0.748
