institution,method,classifier,pca,harmonisation,mcc,auc
H1,MINet,signal,NA,none,0.4658985370606643,0.8087512376200076
H1,MINet-DANN,signal,NA,dann,0.4868555947381163,0.8321769571588795
H1,MINet-DANN-CF,signal,NA,dann-cf,0.4735408811129445,0.8280653997685393
H1,MINet-MTL,signal,NA,none,0.4438706816150948,0.8056708406107244
H2,MINet,signal,NA,none,0.47399730917451,0.7983863190011925
H2,MINet-DANN,signal,NA,dann,0.4840102214899811,0.80622524099527
H2,MINet-DANN-CF,signal,NA,dann-cf,0.4639484111160778,0.795654251458475
H2,MINet-MTL,signal,NA,none,0.4213240576156703,0.7785236504722317
H3,MINet,signal,NA,none,0.3806557775580536,0.8339139684552552
H3,MINet-DANN,signal,NA,dann,0.3964121979741962,0.8249191562365246
H3,MINet-DANN-CF,signal,NA,dann-cf,0.3917316356593673,0.8252086996173227
H3,MINet-MTL,signal,NA,none,0.3250119682345948,0.7837768998574736
H4,MINet,signal,NA,none,0.4345002173160948,0.7910826771653543
H4,MINet-DANN,signal,NA,dann,0.4721239990768898,0.8149409448818896
H4,MINet-DANN-CF,signal,NA,dann-cf,0.4630767332594681,0.8102429312813171
H4,MINet-MTL,signal,NA,none,0.4482453091717265,0.8066911238367932
H5,MINet,signal,NA,none,0.3485515520446657,0.7677556937770039
H5,MINet-DANN,signal,NA,dann,0.4879515301902211,0.8444621430760372
H5,MINet-DANN-CF,signal,NA,dann-cf,0.4727346697532437,0.8318021959025235
H5,MINet-MTL,signal,NA,none,0.3445950226352953,0.7657387794230396
H6,MINet,signal,NA,none,0.4163507721254939,0.8017886405505041
H6,MINet-DANN,signal,NA,dann,0.5040361674736669,0.8362839268792678
H6,MINet-DANN-CF,signal,NA,dann-cf,0.5084181394500626,0.8363077761265855
H6,MINet-MTL,signal,NA,none,0.4730198973526229,0.808687697816257
H7,MINet,signal,NA,none,0.3490340465781687,0.7367587341828452
H7,MINet-DANN,signal,NA,dann,0.3917650993857801,0.7668187782151357
H7,MINet-DANN-CF,signal,NA,dann-cf,0.3946791066256824,0.7655898770209264
H7,MINet-MTL,signal,NA,none,0.3651799560652727,0.7464384993439633
H8,MINet,signal,NA,none,0.1945434708582956,0.7320049150112635
H8,MINet-DANN,signal,NA,dann,0.2611872323918559,0.7970939995904157
H8,MINet-DANN-CF,signal,NA,dann-cf,0.2369350019952696,0.7905816096661888
H8,MINet-MTL,signal,NA,none,0.239358991091146,0.7663854187999181
H9,MINet,signal,NA,none,0.3933330350867322,0.7705505669344995
H9,MINet-DANN,signal,NA,dann,0.372788079204262,0.777860442247726
H9,MINet-DANN-CF,signal,NA,dann-cf,0.376177710615208,0.7776491087332497
H9,MINet-MTL,signal,NA,none,0.3536930668219404,0.754484367789322
H10,MINet,signal,NA,none,0.5536483128292932,0.8477927370019404
H10,MINet-DANN,signal,NA,dann,0.5435327041153101,0.8612643932637543
H10,MINet-DANN-CF,signal,NA,dann-cf,0.5536783674003829,0.8619019472287028
H10,MINet-MTL,signal,NA,none,0.4945274525439696,0.831001727296082
H11,MINet,signal,NA,none,0.5027416277137383,0.8082699327481908
H11,MINet-DANN,signal,NA,dann,0.6071695875958132,0.8858271911638003
H11,MINet-DANN-CF,signal,NA,dann-cf,0.6029658123944555,0.8834997122998657
H11,MINet-MTL,signal,NA,none,0.5603608487832252,0.8697776336740068
H12,MINet,signal,NA,none,0.4848192092221889,0.8271529970837551
H12,MINet-DANN,signal,NA,dann,0.5051133186748836,0.8439714570647165
H12,MINet-DANN-CF,signal,NA,dann-cf,0.5123746899619165,0.8458451066015926
H12,MINet-MTL,signal,NA,none,0.440750633802945,0.818036898807815
H13,MINet,signal,NA,none,0.4815146119507085,0.8014884516680925
H13,MINet-DANN,signal,NA,dann,0.4819022679251451,0.8384209731796911
H13,MINet-DANN-CF,signal,NA,dann-cf,0.4624455342661056,0.8337885573391033
H13,MINet-MTL,signal,NA,none,0.4369355805213671,0.8122970864992705
H14,MINet,signal,NA,none,0.5944652832972057,0.8808311347352629
H14,MINet-DANN,signal,NA,dann,0.5859395335943249,0.8871019890846072
H14,MINet-DANN-CF,signal,NA,dann-cf,0.5920386175559506,0.8870082253433693
H14,MINet-MTL,signal,NA,none,0.5479400515899249,0.8691769483458782
H15,MINet,signal,NA,none,0.4303146086983704,0.8093531143887944
H15,MINet-DANN,signal,NA,dann,0.4246297440289675,0.8138031886672327
H15,MINet-DANN-CF,signal,NA,dann-cf,0.3993370083548622,0.8079438136672326
H15,MINet-MTL,signal,NA,none,0.4001138437181235,0.8024425668505942
H16,MINet,signal,NA,none,0.2539717905349147,0.6366347004084383
H16,MINet-DANN,signal,NA,dann,0.2911546060705073,0.6683676154785465
H16,MINet-DANN-CF,signal,NA,dann-cf,0.275617393800008,0.6686860499389448
H16,MINet-MTL,signal,NA,none,0.2222315945745983,0.6428454882310833
H17,MINet,signal,NA,none,0.596164298081865,0.8944088900094921
H17,MINet-DANN,signal,NA,dann,0.5752837426382841,0.8849408222591362
H17,MINet-DANN-CF,signal,NA,dann-cf,0.57965074125545,0.8790712505932605
H17,MINet-MTL,signal,NA,none,0.5111315996006012,0.854966332463218
H18,MINet,signal,NA,none,0.4784089766531981,0.7737589910335994
H18,MINet-DANN,signal,NA,dann,0.4184397430486377,0.7730850330081782
H18,MINet-DANN-CF,signal,NA,dann-cf,0.4256111501492362,0.7796590797122869
H18,MINet-MTL,signal,NA,none,0.4188191359388262,0.7589634446743521
H19,MINet,signal,NA,none,0.3929191014339578,0.7866848112749751
H19,MINet-DANN,signal,NA,dann,0.4417984336318855,0.8099809411284821
H19,MINet-DANN-CF,signal,NA,dann-cf,0.4318481105195543,0.8092073337974977
H19,MINet-MTL,signal,NA,none,0.4514062398869098,0.8023995892848351
H20,MINet,signal,NA,none,0.2208212142384223,0.6576382163459513
H20,MINet-DANN,signal,NA,dann,0.3802131052252882,0.7620636658385617
H20,MINet-DANN-CF,signal,NA,dann-cf,0.3884323561907151,0.7623373615731188
H20,MINet-MTL,signal,NA,none,0.3608528144823414,0.7276832708745631
H21,MINet,signal,NA,none,0.4616933190052352,0.7738142401232531
H21,MINet-DANN,signal,NA,dann,0.4881998437133274,0.828557279630241
H21,MINet-DANN-CF,signal,NA,dann-cf,0.4772266614985441,0.8248266754704523
H21,MINet-MTL,signal,NA,none,0.4854266894788627,0.8155386816331022
H22,MINet,signal,NA,none,0.4156419287761583,0.7635527515962299
H22,MINet-DANN,signal,NA,dann,0.4163082475860996,0.758695652173913
H22,MINet-DANN-CF,signal,NA,dann-cf,0.4089235783228414,0.7600638491942839
H22,MINet-MTL,signal,NA,none,0.4221175037003563,0.736865308604439
H23,MINet,signal,NA,none,0.47880773266073,0.7982493353696476
H23,MINet-DANN,signal,NA,dann,0.5006579726465826,0.8234063012613836
H23,MINet-DANN-CF,signal,NA,dann-cf,0.5073436665592398,0.8259941173143277
H23,MINet-MTL,signal,NA,none,0.4200640905836456,0.7852536908196164
H24,MINet,signal,NA,none,0.4166780652216631,0.7293419913419914
